_id,Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
3395,202007,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3396,202008,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3397,202009,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3398,202010,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3399,202011,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3400,202012,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3401,202101,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3402,202102,V102H,0,"",0,"",0,"",0,"",0,"",0,""
3403,202103,V102H,102,"",6,"",2,"",3,"",1,"",0,""
3404,202104,V102H,130,"",4,"",1,"",3,"",0,"",0,""
3405,202105,V102H,104,"",5,"",2,"",3,"",0,"",0,""
3406,201505,V217H,1102,"",78,"",35,"",31,"",9,"",3,""
3407,201506,V217H,1027,"",82,"",38,"",30,"",8,"",6,""
3408,201507,V217H,938,"",75,"",37,"",22,"",8,"",8,""
3409,201508,V217H,997,"",77,"",36,"",23,"",10,"",8,""
3410,201509,V217H,985,"",108,"",32,"",49,"",12,"",15,""
3411,201510,V217H,944,"",105,"",31,"",44,"",22,"",8,""
3412,201511,V217H,989,"",82,"",25,"",31,"",21,"",5,""
3413,201512,V217H,914,"",90,"",33,"",44,"",12,"",1,""
3414,201601,V217H,865,"",93,"",34,"",39,"",18,"",2,""
3415,201602,V217H,1019,"",93,"",42,"",37,"",14,"",0,""
3416,201603,V217H,988,"",88,"",28,"",43,"",13,"",4,""
3417,201604,V217H,899,"",84,"",33,"",21,"",27,"",3,""
3418,201605,V217H,975,"",96,"",24,"",42,"",28,"",2,""
3419,201606,V217H,948,"",74,"",31,"",34,"",8,"",1,""
3420,201607,V217H,830,"",77,"",30,"",22,"",23,"",2,""
3421,201608,V217H,1003,"",101,"",34,"",36,"",31,"",0,""
3422,201609,V217H,943,"",86,"",31,"",27,"",28,"",0,""
3423,201610,V217H,935,"",110,"",44,"",40,"",26,"",0,""
3424,201611,V217H,1011,"",88,"",30,"",32,"",26,"",0,""
3425,201612,V217H,831,"",73,"",31,"",18,"",24,"",0,""
3426,201701,V217H,947,"",107,"",39,"",30,"",37,"",1,""
3427,201702,V217H,945,"",97,"",37,"",34,"",26,"",0,""
3428,201703,V217H,1072,"",96,"",32,"",45,"",19,"",0,""
3429,201704,V217H,852,"",72,"",27,"",31,"",12,"",2,""
3430,201705,V217H,1036,"",104,"",31,"",40,"",33,"",0,""
3431,201706,V217H,972,"",120,"",41,"",32,"",47,"",0,""
3432,201707,V217H,788,"",67,"",21,"",30,"",15,"",1,""
3433,201708,V217H,946,"",94,"",34,"",28,"",31,"",1,""
3434,201709,V217H,952,"",115,"",46,"",34,"",35,"",0,""
3435,201710,V217H,929,"",106,"",34,"",30,"",42,"",0,""
3436,201711,V217H,975,"",91,"",29,"",33,"",29,"",0,""
3437,201712,V217H,756,"",89,"",20,"",30,"",39,"",0,""
3438,201801,V217H,841,"",126,"",39,"",46,"",41,"",0,""
3439,201802,V217H,846,"",98,"",40,"",37,"",21,"",0,""
3440,201803,V217H,981,"",175,"",42,"",24,"",109,"",0,""
3441,201804,V217H,815,"",87,"",37,"",18,"",32,"",0,""
3442,201805,V217H,1010,"",94,"",30,"",31,"",33,"",0,""
3443,201806,V217H,872,"",71,"",26,"",32,"",13,"",0,""
3444,201807,V217H,723,"",82,"",21,"",27,"",31,"",3,""
3445,201808,V217H,853,"",95,"",36,"",28,"",30,"",1,""
3446,201809,V217H,835,"",79,"",25,"",25,"",29,"",0,""
3447,201810,V217H,954,"",70,"",19,"",30,"",20,"",1,""
3448,201811,V217H,940,"",101,"",34,"",43,"",24,"",0,""
3449,201812,V217H,684,"",75,"",30,"",19,"",26,"",0,""
3450,201901,V217H,857,"",84,"",32,"",30,"",22,"",0,""
3451,201902,V217H,836,"",85,"",26,"",35,"",23,"",1,""
3452,201903,V217H,940,"",66,"",23,"",31,"",12,"",0,""
3453,201904,V217H,900,"",76,"",27,"",29,"",20,"",0,""
3454,201905,V217H,988,"",85,"",31,"",37,"",17,"",0,""
3455,201906,V217H,855,"",89,"",31,"",28,"",30,"",0,""
3456,201907,V217H,743,"",82,"",34,"",27,"",21,"",0,""
3457,201908,V217H,814,"",64,"",22,"",31,"",11,"",0,""
3458,201909,V217H,864,"",81,"",33,"",31,"",17,"",0,""
3459,201910,V217H,920,"",79,"",28,"",33,"",18,"",0,""
3460,201911,V217H,911,"",90,"",38,"",35,"",17,"",0,""
3461,201912,V217H,731,"",87,"",23,"",37,"",27,"",0,""
3462,202001,V217H,913,"",76,"",29,"",34,"",13,"",0,""
3463,202002,V217H,924,"",72,"",25,"",37,"",10,"",0,""
3464,202003,V217H,746,"",108,"",35,"",47,"",26,"",0,""
3465,202004,V217H,147,"",32,"",8,"",24,"",0,"",0,""
3466,202005,V217H,143,"",5,"",0,"",5,"",0,"",0,""
3467,202006,V217H,309,"",34,"",6,"",24,"",4,"",0,""
3468,202007,V217H,487,"",24,"",8,"",14,"",2,"",0,""
3469,202008,V217H,483,"",35,"",6,"",27,"",2,"",0,""
3470,202009,V217H,591,"",41,"",9,"",25,"",7,"",0,""
3471,202010,V217H,567,"",46,"",11,"",27,"",8,"",0,""
3472,202011,V217H,590,"",39,"",9,"",29,"",1,"",0,""
3473,202012,V217H,523,"",25,"",5,"",20,"",0,"",0,""
3474,202101,V217H,492,"",47,"",12,"",23,"",12,"",0,""
3475,202102,V217H,226,"",17,"",6,"",11,"",0,"",0,""
3476,202103,V217H,653,"",42,"",12,"",30,"",0,"",0,""
3477,202104,V217H,675,"",37,"",8,"",28,"",1,"",0,""
3478,202105,V217H,689,"",57,"",22,"",32,"",3,"",0,""
3479,202106,V217H,828,"",60,"",13,"",10,"",8,"",29,""
3480,202107,V217H,632,"",46,"",16,"",10,"",7,"",13,""
3481,202108,V217H,805,"",55,"",19,"",10,"",7,"",19,""
3482,202109,V217H,820,"",127,"",16,"",8,"",72,"",31,""
3483,202110,V217H,719,"",58,"",19,"",23,"",7,"",9,""
3484,202111,V217H,997,"",83,"",36,"",31,"",3,"",13,""
3485,202112,V217H,838,"",65,"",15,"",15,"",16,"",19,""
3486,202201,V217H,409,"",37,"",20,"",6,"",4,"",7,""
3487,202202,V217H,685,"",51,"",27,"",11,"",7,"",6,""
3488,202203,V217H,966,"",102,"",49,"",27,"",19,"",7,""
3489,202204,V217H,856,"",94,"",55,"",24,"",4,"",11,""
3490,202205,V217H,1016,"",108,"",50,"",28,"",16,"",14,""
3491,202206,V217H,945,"",89,"",40,"",21,"",14,"",14,""
3492,202207,V217H,797,"",117,"",43,"",27,"",9,"",38,""
3493,202208,V217H,1053,"",94,"",42,"",23,"",9,"",20,""
3494,202209,V217H,1034,"",85,"",38,"",16,"",15,"",16,""
3495,202210,V217H,895,"",80,"",30,"",25,"",12,"",13,""
3496,202211,V217H,947,"",90,"",46,"",19,"",6,"",19,""
3497,202212,V217H,831,"",84,"",31,"",19,"",32,"",2,""
3498,201505,W107H,102,"",12,"",3,"",3,"",6,"",0,""
3499,201506,W107H,126,"",15,"",5,"",6,"",2,"",2,""
3500,201507,W107H,117,"",10,"",4,"",4,"",1,"",1,""
3501,201508,W107H,113,"",8,"",3,"",3,"",2,"",0,""
3502,201509,W107H,135,"",13,"",4,"",6,"",3,"",0,""
3503,201510,W107H,114,"",11,"",4,"",1,"",4,"",2,""
3504,201511,W107H,118,"",8,"",0,"",5,"",3,"",0,""
3505,201512,W107H,100,"",5,"",0,"",4,"",0,"",1,""
3506,201601,W107H,110,"",14,"",6,"",6,"",0,"",2,""
3507,201602,W107H,132,"",13,"",6,"",4,"",2,"",1,""
3508,201603,W107H,108,"",26,"",5,"",7,"",13,"",1,""
3509,201604,W107H,118,"",4,"",0,"",4,"",0,"",0,""
3510,201605,W107H,119,"",8,"",4,"",4,"",0,"",0,""
3511,201606,W107H,122,"",13,"",4,"",8,"",1,"",0,""
3512,201607,W107H,96,"",9,"",3,"",3,"",1,"",2,""
3513,201608,W107H,128,"",16,"",3,"",8,"",4,"",1,""
3514,201609,W107H,115,"",8,"",2,"",2,"",3,"",1,""
3515,201610,W107H,116,"",9,"",1,"",5,"",2,"",1,""
3516,201611,W107H,120,"",4,"",3,"",1,"",0,"",0,""
3517,201612,W107H,96,"",5,"",1,"",4,"",0,"",0,""
3518,201701,W107H,108,"",6,"",4,"",2,"",0,"",0,""
3519,201702,W107H,108,"",9,"",4,"",4,"",1,"",0,""
3520,201703,W107H,105,"",9,"",3,"",5,"",0,"",1,""
3521,201704,W107H,99,"",5,"",0,"",5,"",0,"",0,""
3522,201705,W107H,124,"",10,"",6,"",3,"",0,"",1,""
3523,201706,W107H,94,"",11,"",5,"",6,"",0,"",0,""
3524,201707,W107H,79,"",20,"",6,"",4,"",7,"",3,""
3525,201708,W107H,95,"",10,"",3,"",0,"",6,"",1,""
3526,201709,W107H,68,"",16,"",0,"",2,"",14,"",0,""
3527,201710,W107H,107,"",17,"",2,"",6,"",8,"",1,""
3528,201711,W107H,124,"",19,"",3,"",8,"",8,"",0,""
3529,201712,W107H,102,"",8,"",3,"",4,"",1,"",0,""
3530,201801,W107H,124,"",17,"",2,"",13,"",2,"",0,""
3531,201802,W107H,103,"",13,"",3,"",6,"",0,"",4,""
3532,201803,W107H,90,"",6,"",1,"",3,"",1,"",1,""
3533,201804,W107H,92,"",5,"",2,"",3,"",0,"",0,""
3534,201805,W107H,105,"",12,"",4,"",6,"",2,"",0,""
3535,201806,W107H,85,"",11,"",5,"",2,"",4,"",0,""
3536,201807,W107H,90,"",12,"",1,"",7,"",4,"",0,""
3537,201808,W107H,129,"",16,"",9,"",3,"",4,"",0,""
3538,201809,W107H,90,"",8,"",3,"",1,"",3,"",1,""
3539,201810,W107H,127,"",9,"",4,"",5,"",0,"",0,""
3540,201811,W107H,97,"",5,"",1,"",4,"",0,"",0,""
3541,201812,W107H,87,"",10,"",1,"",6,"",3,"",0,""
3542,201901,W107H,118,"",12,"",2,"",5,"",5,"",0,""
3543,201902,W107H,105,"",14,"",5,"",7,"",2,"",0,""
3544,201903,W107H,99,"",8,"",0,"",6,"",2,"",0,""
3545,201904,W107H,87,"",7,"",1,"",3,"",3,"",0,""
3546,201905,W107H,96,"",6,"",1,"",4,"",1,"",0,""
3547,201906,W107H,90,"",14,"",6,"",4,"",3,"",1,""
3548,201907,W107H,128,"",13,"",2,"",10,"",1,"",0,""
3549,201908,W107H,90,"",10,"",4,"",3,"",3,"",0,""
3550,201909,W107H,99,"",16,"",4,"",6,"",4,"",2,""
3551,201910,W107H,112,"",7,"",3,"",3,"",1,"",0,""
3552,201911,W107H,113,"",7,"",1,"",3,"",3,"",0,""
3553,201912,W107H,98,"",15,"",3,"",6,"",3,"",3,""
3554,202001,W107H,109,"",11,"",2,"",7,"",1,"",1,""
3555,202002,W107H,99,"",9,"",0,"",7,"",2,"",0,""
3556,202003,W107H,110,"",14,"",6,"",3,"",5,"",0,""
3557,202004,W107H,6,"",1,"",0,"",1,"",0,"",0,""
3558,202005,W107H,6,"",0,"",0,"",0,"",0,"",0,""
3559,202006,W107H,12,"",2,"",0,"",1,"",1,"",0,""
3560,202007,W107H,42,"",4,"",0,"",3,"",1,"",0,""
3561,202008,W107H,50,"",2,"",0,"",1,"",1,"",0,""
3562,202009,W107H,89,"",2,"",1,"",1,"",0,"",0,""
3563,202010,W107H,92,"",7,"",1,"",4,"",2,"",0,""
3564,202011,W107H,92,"",4,"",3,"",1,"",0,"",0,""
3565,202012,W107H,84,"",3,"",0,"",2,"",0,"",1,""
3566,202101,W107H,72,"",4,"",0,"",3,"",1,"",0,""
3567,202102,W107H,28,"",1,"",1,"",0,"",0,"",0,""
3568,202103,W107H,69,"",14,"",1,"",3,"",9,"",1,""
3569,202104,W107H,113,"",3,"",2,"",1,"",0,"",0,""
3570,202105,W107H,85,"",5,"",0,"",3,"",0,"",2,""
3571,202106,W107H,98,"",6,"",2,"",4,"",0,"",0,""
3572,202107,W107H,107,"",8,"",1,"",4,"",2,"",1,""
3573,202108,W107H,98,"",2,"",1,"",1,"",0,"",0,""
3574,202109,W107H,70,"",6,"",0,"",4,"",1,"",1,""
3575,202110,W107H,116,"",11,"",2,"",6,"",2,"",1,""
3576,202111,W107H,132,"",5,"",2,"",3,"",0,"",0,""
3577,202112,W107H,50,"",6,"",0,"",2,"",0,"",4,""
3578,202201,W107H,37,"",1,"",0,"",1,"",0,"",0,""
3579,202202,W107H,95,"",7,"",1,"",4,"",2,"",0,""
3580,202203,W107H,115,"",4,"",0,"",2,"",2,"",0,""
3581,202204,W107H,53,"",6,"",0,"",2,"",4,"",0,""
3582,202205,W107H,104,"",3,"",0,"",3,"",0,"",0,""
3583,202206,W107H,108,"",5,"",2,"",2,"",1,"",0,""
3584,202207,W107H,115,"",14,"",5,"",6,"",1,"",2,""
3585,202208,W107H,135,"",7,"",1,"",5,"",1,"",0,""
3586,202209,W107H,120,"",6,"",2,"",4,"",0,"",0,""
3587,202210,W107H,127,"",8,"",3,"",3,"",1,"",1,""
3588,202211,W107H,129,"",6,"",2,"",3,"",1,"",0,""
3589,202212,W107H,122,"",8,"",2,"",2,"",4,"",0,""
3590,201505,Y104H,1312,"",100,"",27,"",54,"",10,"",9,""
3591,201506,Y104H,1539,"",103,"",31,"",55,"",10,"",7,""
3592,201507,Y104H,1515,"",126,"",35,"",55,"",25,"",11,""
3593,201508,Y104H,1488,"",112,"",41,"",56,"",6,"",9,""
3594,201509,Y104H,1523,"",120,"",44,"",52,"",17,"",7,""
3595,201510,Y104H,1495,"",134,"",35,"",72,"",14,"",13,""
3596,201511,Y104H,1380,"",109,"",25,"",57,"",12,"",15,""
3597,201512,Y104H,1427,"",113,"",32,"",60,"",14,"",7,""
3598,201601,Y104H,1285,"",135,"",42,"",55,"",27,"",11,""
3599,201602,Y104H,1399,"",131,"",45,"",54,"",27,"",5,""
3600,201603,Y104H,1409,"",141,"",45,"",48,"",45,"",3,""
3601,201604,Y104H,1407,"",110,"",37,"",44,"",22,"",7,""
3602,201605,Y104H,1476,"",124,"",46,"",50,"",23,"",5,""
3603,201606,Y104H,1563,"",163,"",27,"",75,"",41,"",20,""
3604,201607,Y104H,1435,"",129,"",56,"",42,"",20,"",11,""
3605,201608,Y104H,1480,"",127,"",44,"",46,"",23,"",14,""
3606,201609,Y104H,1459,"",108,"",42,"",43,"",13,"",10,""
3607,201610,Y104H,1332,"",105,"",20,"",57,"",15,"",13,""
3608,201611,Y104H,1409,"",108,"",27,"",59,"",12,"",10,""
3609,201612,Y104H,1259,"",117,"",39,"",52,"",25,"",1,""
3610,201701,Y104H,1429,"",105,"",37,"",51,"",14,"",3,""
3611,201702,Y104H,1386,"",92,"",29,"",47,"",14,"",2,""
3612,201703,Y104H,1708,"",102,"",32,"",40,"",21,"",9,""
3613,201704,Y104H,1275,"",95,"",31,"",47,"",8,"",9,""
3614,201705,Y104H,1414,"",89,"",31,"",33,"",16,"",9,""
3615,201706,Y104H,1392,"",96,"",46,"",39,"",10,"",1,""
3616,201707,Y104H,1173,"",88,"",32,"",38,"",15,"",3,""
3617,201708,Y104H,1283,"",115,"",44,"",43,"",21,"",7,""
3618,201709,Y104H,1264,"",100,"",26,"",61,"",7,"",6,""
3619,201710,Y104H,1326,"",104,"",44,"",25,"",31,"",4,""
3620,201711,Y104H,1372,"",107,"",33,"",44,"",20,"",10,""
3621,201712,Y104H,343,"",20,"",6,"",12,"",2,"",0,""
3622,201801,Y104H,193,"",19,"",8,"",9,"",1,"",1,""
3623,201802,Y104H,187,"",15,"",5,"",10,"",0,"",0,""
3624,201803,Y104H,166,"",9,"",3,"",6,"",0,"",0,""
3625,201505,Y144H,121,"",13,"",6,"",2,"",5,"",0,""
3626,201506,Y144H,135,"",10,"",5,"",5,"",0,"",0,""
3627,201507,Y144H,165,"",25,"",14,"",9,"",1,"",1,""
3628,201508,Y144H,169,"",24,"",8,"",14,"",0,"",2,""
3629,201509,Y144H,136,"",22,"",13,"",7,"",2,"",0,""
3630,201510,Y144H,172,"",19,"",6,"",11,"",0,"",2,""
3631,201511,Y144H,131,"",6,"",0,"",5,"",0,"",1,""
3632,201512,Y144H,125,"",8,"",3,"",3,"",0,"",2,""
3633,201601,Y144H,125,"",29,"",12,"",4,"",10,"",3,""
3634,201602,Y144H,176,"",9,"",4,"",3,"",0,"",2,""
3635,201603,Y144H,163,"",19,"",8,"",9,"",0,"",2,""
3636,201604,Y144H,114,"",17,"",6,"",10,"",0,"",1,""
3637,201605,Y144H,193,"",30,"",13,"",11,"",3,"",3,""
3638,201606,Y144H,210,"",18,"",7,"",7,"",2,"",2,""
3639,201607,Y144H,117,"",14,"",8,"",6,"",0,"",0,""
3640,201608,Y144H,156,"",18,"",8,"",6,"",0,"",4,""
3641,201609,Y144H,170,"",18,"",8,"",5,"",3,"",2,""
3642,201610,Y144H,147,"",14,"",5,"",7,"",2,"",0,""
3643,201611,Y144H,152,"",11,"",5,"",6,"",0,"",0,""
3644,201612,Y144H,129,"",7,"",5,"",1,"",0,"",1,""
3645,201701,Y144H,178,"",18,"",5,"",5,"",2,"",6,""
3646,201702,Y144H,162,"",15,"",3,"",10,"",0,"",2,""
3647,201703,Y144H,172,"",24,"",2,"",9,"",9,"",4,""
3648,201704,Y144H,147,"",14,"",8,"",4,"",1,"",1,""
3649,201705,Y144H,147,"",19,"",5,"",14,"",0,"",0,""
3650,201706,Y144H,130,"",9,"",6,"",3,"",0,"",0,""
3651,201707,Y144H,108,"",10,"",1,"",6,"",1,"",2,""
3652,201708,Y144H,131,"",10,"",5,"",4,"",0,"",1,""
3653,201709,Y144H,110,"",22,"",7,"",1,"",14,"",0,""
3654,201710,Y144H,55,"",2,"",1,"",1,"",0,"",0,""
3655,201711,Y144H,90,"",15,"",4,"",9,"",1,"",1,""
3656,201712,Y144H,73,"",10,"",1,"",5,"",4,"",0,""
3657,201801,Y144H,167,"",21,"",6,"",13,"",1,"",1,""
3658,201802,Y144H,128,"",18,"",5,"",11,"",0,"",2,""
3659,201803,Y144H,132,"",12,"",7,"",4,"",0,"",1,""
3660,201804,Y144H,142,"",20,"",10,"",9,"",0,"",1,""
3661,201805,Y144H,188,"",14,"",4,"",9,"",0,"",1,""
3662,201806,Y144H,151,"",17,"",6,"",9,"",0,"",2,""
3663,201807,Y144H,110,"",5,"",2,"",1,"",2,"",0,""
3664,201808,Y144H,125,"",18,"",9,"",6,"",1,"",2,""
3665,201809,Y144H,135,"",28,"",12,"",16,"",0,"",0,""
3666,201810,Y144H,160,"",16,"",7,"",9,"",0,"",0,""
3667,201811,Y144H,149,"",13,"",5,"",5,"",1,"",2,""
3668,201812,Y144H,92,"",9,"",2,"",7,"",0,"",0,""
3669,201901,Y144H,103,"",12,"",4,"",6,"",1,"",1,""
3670,201902,Y144H,128,"",12,"",5,"",7,"",0,"",0,""
3671,201903,Y144H,98,"",5,"",2,"",3,"",0,"",0,""
3672,201904,Y144H,121,"",10,"",4,"",6,"",0,"",0,""
3673,201905,Y144H,131,"",12,"",5,"",6,"",0,"",1,""
3674,201906,Y144H,118,"",7,"",3,"",4,"",0,"",0,""
3675,201907,Y144H,103,"",9,"",4,"",5,"",0,"",0,""
3676,201908,Y144H,142,"",14,"",8,"",6,"",0,"",0,""
3677,201909,Y144H,119,"",12,"",5,"",6,"",1,"",0,""
3678,201910,Y144H,117,"",12,"",5,"",6,"",1,"",0,""
3679,201911,Y144H,169,"",15,"",6,"",8,"",0,"",1,""
3680,201912,Y144H,85,"",4,"",1,"",3,"",0,"",0,""
3681,202001,Y144H,153,"",9,"",2,"",7,"",0,"",0,""
3682,202002,Y144H,147,"",14,"",6,"",8,"",0,"",0,""
3683,202003,Y144H,61,"",9,"",0,"",4,"",3,"",2,""
3684,202008,Y144H,50,"",6,"",3,"",3,"",0,"",0,""
3685,202009,Y144H,100,"",9,"",3,"",5,"",0,"",1,""
3686,202010,Y144H,75,"",5,"",3,"",2,"",0,"",0,""
3687,202011,Y144H,119,"",13,"",3,"",2,"",6,"",2,""
3688,202012,Y144H,110,"",7,"",4,"",3,"",0,"",0,""
3689,202101,Y144H,67,"",4,"",3,"",1,"",0,"",0,""
3690,202102,Y144H,77,"",10,"",3,"",7,"",0,"",0,""
3691,202103,Y144H,115,"",16,"",2,"",4,"",10,"",0,""
3692,202104,Y144H,111,"",7,"",2,"",5,"",0,"",0,""
3693,202105,Y144H,109,"",7,"",0,"",6,"",1,"",0,""
3694,202106,Y144H,96,"",5,"",1,"",4,"",0,"",0,""
3695,202107,Y144H,105,"",12,"",7,"",5,"",0,"",0,""
3696,202108,Y144H,120,"",7,"",3,"",3,"",1,"",0,""
3697,202109,Y144H,118,"",11,"",0,"",10,"",0,"",1,""
3698,202110,Y144H,66,"",7,"",4,"",3,"",0,"",0,""
3699,202111,Y144H,121,"",7,"",4,"",3,"",0,"",0,""
3700,202112,Y144H,98,"",9,"",3,"",5,"",0,"",1,""
3701,202201,Y144H,115,"",9,"",5,"",3,"",0,"",1,""
3702,202202,Y144H,42,"",8,"",3,"",5,"",0,"",0,""
3703,202203,Y144H,84,"",10,"",0,"",9,"",0,"",1,""
3704,202204,Y144H,70,"",3,"",1,"",1,"",0,"",1,""
3705,202205,Y144H,116,"",12,"",7,"",3,"",0,"",2,""
3706,202206,Y144H,94,"",12,"",3,"",9,"",0,"",0,""
3707,202207,Y144H,83,"",12,"",6,"",6,"",0,"",0,""
3708,202208,Y144H,120,"",16,"",9,"",7,"",0,"",0,""
3709,202209,Y144H,106,"",10,"",4,"",4,"",2,"",0,""
3710,202210,Y144H,92,"",6,"",1,"",5,"",0,"",0,""
3711,202211,Y144H,119,"",11,"",6,"",5,"",0,"",0,""
3712,202212,Y144H,117,"",12,"",6,"",6,"",0,"",0,""
3713,201712,Y146H,642,"",63,"",27,"",19,"",13,"",4,""
3714,201801,Y146H,1032,"",128,"",39,"",40,"",39,"",10,""
3715,201802,Y146H,1079,"",127,"",52,"",41,"",30,"",4,""
3716,201803,Y146H,1258,"",119,"",47,"",39,"",25,"",8,""
3717,201804,Y146H,1137,"",116,"",43,"",39,"",28,"",6,""
3718,201805,Y146H,1349,"",111,"",46,"",32,"",29,"",4,""
3719,201806,Y146H,1134,"",87,"",41,"",30,"",13,"",3,""
3720,201807,Y146H,1168,"",105,"",42,"",41,"",22,"",0,""
3721,201808,Y146H,1231,"",113,"",44,"",45,"",18,"",6,""
3722,201809,Y146H,1119,"",89,"",39,"",32,"",16,"",2,""
3723,201810,Y146H,1265,"",121,"",41,"",53,"",22,"",5,""
3724,201811,Y146H,1313,"",95,"",37,"",43,"",9,"",6,""
3725,201812,Y146H,1068,"",89,"",34,"",34,"",17,"",4,""
3726,201901,Y146H,1214,"",96,"",40,"",40,"",13,"",3,""
3727,201902,Y146H,1111,"",84,"",22,"",32,"",28,"",2,""
3728,201903,Y146H,1162,"",104,"",41,"",31,"",27,"",5,""
3729,201904,Y146H,1205,"",89,"",31,"",33,"",20,"",5,""
3730,201905,Y146H,1221,"",100,"",36,"",42,"",19,"",3,""
3731,201906,Y146H,1164,"",82,"",26,"",36,"",17,"",3,""
3732,201907,Y146H,1304,"",95,"",35,"",39,"",14,"",7,""
3733,201908,Y146H,1179,"",97,"",33,"",31,"",28,"",5,""
3734,201909,Y146H,1179,"",102,"",33,"",38,"",28,"",3,""
3735,201910,Y146H,1268,"",119,"",31,"",48,"",33,"",7,""
3736,201911,Y146H,1253,"",94,"",26,"",25,"",36,"",7,""
3737,201912,Y146H,1178,"",93,"",31,"",42,"",17,"",3,""
3738,202001,Y146H,1234,"",90,"",28,"",40,"",21,"",1,""
3739,202002,Y146H,1152,"",97,"",19,"",43,"",30,"",5,""
3740,202003,Y146H,950,"",98,"",29,"",33,"",25,"",11,""
3741,202004,Y146H,187,"",8,"",3,"",5,"",0,"",0,""
3742,202005,Y146H,294,"",17,"",6,"",10,"",0,"",1,""
3743,202006,Y146H,630,"",40,"",15,"",23,"",1,"",1,""
3744,202007,Y146H,733,"",41,"",11,"",22,"",6,"",2,""
3745,202008,Y146H,729,"",42,"",8,"",26,"",7,"",1,""
3746,202009,Y146H,907,"",47,"",9,"",32,"",4,"",2,""
3747,202010,Y146H,975,"",82,"",15,"",44,"",18,"",5,""
3748,202011,Y146H,1112,"",76,"",12,"",49,"",14,"",1,""
3749,202012,Y146H,1013,"",74,"",12,"",49,"",12,"",1,""
3750,202101,Y146H,531,"",27,"",9,"",15,"",2,"",1,""
3751,202102,Y146H,619,"",38,"",10,"",25,"",2,"",1,""
3752,202103,Y146H,958,"",47,"",16,"",21,"",10,"",0,""
3753,202104,Y146H,1021,"",67,"",22,"",29,"",13,"",3,""
3754,202105,Y146H,1098,"",60,"",10,"",37,"",12,"",1,""
3755,202106,Y146H,1131,"",83,"",16,"",48,"",14,"",5,""
3756,202107,Y146H,964,"",68,"",10,"",36,"",13,"",9,""
3757,202108,Y146H,968,"",90,"",23,"",46,"",17,"",4,""
3758,202109,Y146H,948,"",85,"",15,"",37,"",31,"",2,""
3759,202110,Y146H,880,"",86,"",24,"",39,"",22,"",1,""
3760,202111,Y146H,994,"",100,"",19,"",42,"",35,"",4,""
3761,202112,Y146H,893,"",82,"",12,"",40,"",26,"",4,""
3762,202201,Y146H,984,"",111,"",27,"",63,"",19,"",2,""
3763,202202,Y146H,930,"",87,"",22,"",43,"",19,"",3,""
3764,202203,Y146H,1067,"",106,"",28,"",51,"",21,"",6,""
3765,202204,Y146H,927,"",80,"",15,"",44,"",18,"",3,""
3766,202205,Y146H,1086,"",130,"",29,"",55,"",42,"",4,""
3767,202206,Y146H,964,"",111,"",26,"",58,"",24,"",3,""
3768,202207,Y146H,973,"",101,"",33,"",36,"",26,"",6,""
3769,202208,Y146H,941,"",126,"",33,"",42,"",45,"",6,""
3770,202209,Y146H,1031,"",124,"",47,"",46,"",29,"",2,""
3771,202210,Y146H,927,"",142,"",39,"",46,"",54,"",3,""
3772,202211,Y146H,1114,"",125,"",41,"",58,"",23,"",3,""
3773,202212,Y146H,894,"",95,"",30,"",34,"",25,"",6,""
3774,201804,Y177C,163,"",7,"",2,"",5,"",0,"",0,""
3775,201805,Y177C,175,"",7,"",3,"",4,"",0,"",0,""
3776,201806,Y177C,135,"",8,"",3,"",4,"",1,"",0,""
3777,201807,Y177C,163,"",6,"",2,"",4,"",0,"",0,""
3778,201808,Y177C,164,"",11,"",2,"",7,"",2,"",0,""
3779,201809,Y177C,111,"",8,"",1,"",7,"",0,"",0,""
3780,201810,Y177C,151,"",11,"",1,"",10,"",0,"",0,""
3781,201811,Y177C,151,"",17,"",1,"",12,"",4,"",0,""
3782,201812,Y177C,113,"",2,"",0,"",2,"",0,"",0,""
3783,201901,Y177C,182,"",12,"",2,"",6,"",4,"",0,""
3784,201902,Y177C,182,"",7,"",0,"",5,"",2,"",0,""
3785,201903,Y177C,151,"",11,"",2,"",9,"",0,"",0,""
3786,201904,Y177C,157,"",14,"",4,"",10,"",0,"",0,""
3787,201905,Y177C,224,"",20,"",4,"",14,"",2,"",0,""
3788,201906,Y177C,157,"",17,"",4,"",10,"",3,"",0,""
3789,201907,Y177C,187,"",15,"",7,"",8,"",0,"",0,""
3790,201908,Y177C,150,"",16,"",2,"",12,"",2,"",0,""
3791,201909,Y177C,133,"",12,"",2,"",10,"",0,"",0,""
3792,201910,Y177C,254,"",13,"",2,"",11,"",0,"",0,""
3793,201911,Y177C,199,"",16,"",4,"",12,"",0,"",0,""
